Hispanic,Black non-Hispanic,Other non-Hispanic,White non-Hispanic,Male,Female,18-44 years,45-64 years,Bachelor's degree or above,High school graduate or less,Some college,tract_x,tract_y,latitude,longitude,google_loc
0.581272509,0.323889556,0.012244898,0.066026411,0.493157263,0.506842737,0.464585834,0.169027611,0.403501629,0.596498371,0.403501629,232403,2324.03,29.8090933,-95.2052647,"29.8090933, -95.2052647 (2324.03)"
0.672727273,0.185645933,0.008293461,0.129824561,0.564593301,0.435406699,0.418500797,0.219457735,0.218385214,0.781614786,0.218385214,232500,2325,29.8059971,-95.2502681,"29.8059971, -95.2502681 (2325)"
0.769333333,0.075,0.010666667,0.144,0.502,0.498,0.442333333,0.167666667,0.355355355,0.644644645,0.355355355,232600,2326,29.7844995,-95.2495802,"29.7844995, -95.2495802 (2326)"
0.669799585,0.272425708,0.009260539,0.042017968,0.509744299,0.490255701,0.483068417,0.127297858,0.256511444,0.743488556,0.256511444,232701,2327.01,29.7886493,-95.2278273,"29.7886493, -95.2278273 (2327.01)"
0.689093349,0.18190531,0.012459268,0.109258194,0.526931187,0.473068813,0.490320107,0.116925436,0.238910234,0.761089766,0.238910234,232702,2327.02,29.7755523,-95.2166662,"29.7755523, -95.2166662 (2327.02)"
0.510671025,0.343972313,0.016727552,0.092097674,0.498173428,0.501826572,0.51470871,0.151124784,0.541620829,0.458379171,0.541620829,232800,2328,29.7869616,-95.2056287,"29.7869616, -95.2056287 (2328)"
0.393024538,0.41466777,0.013923353,0.132616487,0.478632479,0.521367521,0.474083264,0.188999173,0.53381699,0.46618301,0.53381699,232900,2329,29.801152,-95.1933761,"29.801152, -95.1933761 (2329)"
0.424194063,0.331311842,0.011490584,0.225662305,0.48451963,0.51548037,0.466964571,0.152250239,0.379310345,0.620689655,0.379310345,233001,2330.01,29.7971928,-95.1825542,"29.7971928, -95.1825542 (2330.01)"
0.380722279,0.36698881,0.013987792,0.200406918,0.486266531,0.513733469,0.434130214,0.226856562,0.563213531,0.436786469,0.563213531,233002,2330.02,29.8017233,-95.1701831,"29.8017233, -95.1701831 (2330.02)"
0.420134228,0.091275168,0.012527964,0.457270694,0.480089485,0.519910515,0.378970917,0.187472036,0.397868561,0.602131439,0.397868561,233003,2330.03,29.7936981,-95.1707437,"29.7936981, -95.1707437 (2330.03)"
0.773313854,0.040662284,0.004139274,0.171658145,0.522035549,0.477964451,0.465790114,0.117604091,0.305829596,0.694170404,0.305829596,233101,2331.01,29.7875614,-95.1793247,"29.7875614, -95.1793247 (2331.01)"
0.834032355,0.016177352,0.006440983,0.141102457,0.531905333,0.468094667,0.477531456,0.10710006,0.129220614,0.870779386,0.129220614,233102,2331.02,29.7797575,-95.1642778,"29.7797575, -95.1642778 (2331.02)"
0.847598761,0.022656855,0.007939582,0.119674671,0.526142525,0.473857475,0.482958947,0.103020914,0.127385708,0.872614292,0.127385708,233103,2331.03,29.7764643,-95.1762714,"29.7764643, -95.1762714 (2331.03)"
0.71309371,0.02936457,0.005455712,0.248876765,0.505455712,0.494544288,0.432926829,0.142811297,0.290151515,0.709848485,0.290151515,233200,2332,29.7793051,-95.1927525,"29.7793051, -95.1927525 (2332)"
0.896845164,0.007264425,0.004773765,0.089456206,0.528019925,0.471980075,0.472395185,0.120797011,0.188556567,0.811443433,0.188556567,233300,2333,29.7542552,-95.2006244,"29.7542552, -95.2006244 (2333)"
0.792890823,0.088501995,0.003989844,0.110627494,0.492927095,0.507072905,0.425099746,0.176278564,0.276470588,0.723529412,0.276470588,233400,2334,29.7708371,-95.2453025,"29.7708371, -95.2453025 (2334)"
0.855566957,0.010903027,0.005130836,0.126859928,0.502308876,0.497691124,0.448948179,0.144304772,0.17767159,0.82232841,0.17767159,233500,2335,29.7633492,-95.2392045,"29.7633492, -95.2392045 (2335)"
0.247296662,0.738598966,0.007052186,0.004701457,0.474377057,0.525622943,0.40667607,0.19887165,0.461033634,0.538966366,0.461033634,233600,2336,29.7564963,-95.260864,"29.7564963, -95.260864 (2336)"
0.751000953,0.131363203,0.005338418,0.110962822,0.506768351,0.493231649,0.43336511,0.151000953,0.264957265,0.735042735,0.264957265,233701,2337.01,29.7357783,-95.2467911,"29.7357783, -95.2467911 (2337.01)"
0.901666667,0.005333333,0.004,0.088,0.509333333,0.490666667,0.450666667,0.133,0.105062602,0.894937398,0.105062602,233702,2337.02,29.7475453,-95.2379374,"29.7475453, -95.2379374 (2337.02)"
0.838855422,0.006024096,0.006777108,0.148343373,0.501129518,0.498870482,0.447665663,0.123493976,0.125461255,0.874538745,0.125461255,233703,2337.03,29.743492,-95.2215425,"29.743492, -95.2215425 (2337.03)"
